x,y,width,height,IoU
3898,2587,119,193,0.87
2500,1476,128,216,0.91
4125,2171,145,216,0.79
4069,3154,119,199,0.76
4604,1265,213,171,0.71
2620,2034,213,114,0.89
3962,2399,111,171,0.84
2894,1442,128,273,0.86
4296,3454,145,250,0.85
3732,872,128,239,0.76
4056,1966,145,182,0.8
3992,2869,153,256,0.86
2706,1368,111,193,0.86
4326,2975,119,205,0.78
4916,1114,205,119,0.56
2620,1447,145,228,0.86
3907,2151,119,199,0.85
5155,1063,222,119,0.57
4176,3009,128,205,0.88
4193,2416,145,239,0.91
4826,1248,213,125,0.67
4121,3477,102,193,0.84
4104,2750,153,245,0.93
4266,2755,102,188,0.73
3603,461,128,216,0.75
3526,165,179,273,0.78
5407,1014,128,102,0.51
3898,2587,119,193,0.87
2500,1476,128,216,0.91
4125,2171,145,216,0.79
4069,3154,119,199,0.76
4604,1265,213,171,0.71
2620,2034,213,114,0.89
3962,2399,111,171,0.84
2894,1442,128,273,0.86
4296,3454,145,250,0.85
3732,872,128,239,0.76
4056,1966,145,182,0.8
3992,2869,153,256,0.86
2706,1368,111,193,0.86
4326,2975,119,205,0.78
4916,1114,205,119,0.56
2620,1447,145,228,0.86
3907,2151,119,199,0.85
5155,1063,222,119,0.57
4176,3009,128,205,0.88
4193,2416,145,239,0.91
4826,1248,213,125,0.67
4121,3477,102,193,0.84
4104,2750,153,245,0.93
4266,2755,102,188,0.73
3603,461,128,216,0.75
3526,165,179,273,0.78
5407,1014,128,102,0.51
