x,y,width,height,IoU
5232,2687,307,199,0.84
5339,3029,265,188,0.91
329,2510,162,233,0.81
4552,2875,145,222,0.82
179,2949,171,233,0.83
2765,2707,213,125,0.87
2530,2448,222,108,0.89
2590,2827,188,125,0.89
2778,3078,222,114,0.82
3086,2171,222,91,0.74
5301,2083,153,222,0.8
2505,2599,256,102,0.91
2667,2904,188,119,0.89
2902,2961,213,108,0.9
4420,2775,119,205,0.75
2543,2721,196,96,0.89
2458,2200,213,91,0.77
2402,2317,273,108,0.84
978,760,128,245,0.6
2697,2986,213,114,0.77
4728,2801,102,188,0.78
2800,3186,196,125,0.81
5100,2137,282,182,0.82
