x,y,width,height,IoU
5185,1037,384,148,0.75
5365,1134,213,102,0.84
5130,1171,239,96,0.83
5429,832,85,114,0.58
5356,1633,145,324,0.77
2175,3323,94,228,0.78
4843,65,162,131,0.68
4642,353,222,91,0.71
4792,210,196,91,0.72
5159,359,367,296,0.8
5407,304,128,153,0.62
5403,652,136,165,0.73
5185,1037,384,148,0.75
5365,1134,213,102,0.84
5130,1171,239,96,0.83
5429,832,85,114,0.58
5356,1633,145,324,0.77
2175,3323,94,228,0.78
4843,65,162,131,0.68
4642,353,222,91,0.71
4792,210,196,91,0.72
5159,359,367,296,0.8
5407,304,128,153,0.62
5403,652,136,165,0.73
