x,y,width,height,IoU
5232,2687,307,199,0.77
5339,3029,265,188,0.81
329,2510,162,233,0.82
4552,2875,145,222,0.77
179,2949,171,233,0.8
2765,2707,213,125,0.72
2530,2448,222,108,0.84
2590,2827,188,125,0.74
2778,3078,222,114,0.68
3086,2171,222,91,0.92
5301,2083,153,222,0.77
2505,2599,256,102,0.74
2667,2904,188,119,0.78
2902,2961,213,108,0.72
4420,2775,119,205,0.7
2543,2721,196,96,0.75
2458,2200,213,91,0.89
2402,2317,273,108,0.69
978,760,128,245,0.57
2697,2986,213,114,0.62
4728,2801,102,188,0.72
2800,3186,196,125,0.66
5100,2137,282,182,0.85
