x,y,width,height,confidence,class,class_id,detection_id,image_path,prediction_type,image
81,359,162,216,0.863945484161377,car,0,85c1d9dc-c0fd-4aca-af66-d672ea48f9f6,C:\Users\felix\Documents\My_Python\data\Testzone\DJI_0037.jpg,ObjectDetectionModel,DJI_0037.jpg
2838,1447,188,182,0.8483440279960632,car,0,3d162306-0c68-4e7f-b9a1-827e4555d5eb,C:\Users\felix\Documents\My_Python\data\Testzone\DJI_0037.jpg,ObjectDetectionModel,DJI_0037.jpg
2697,1926,196,216,0.8468112349510193,car,0,7f8b24b7-f2e1-4879-880c-5fec2f2c8339,C:\Users\felix\Documents\My_Python\data\Testzone\DJI_0037.jpg,ObjectDetectionModel,DJI_0037.jpg
2287,2607,111,165,0.8399646282196045,car,0,4be5a5d9-968a-4b37-a26a-55e528529ece,C:\Users\felix\Documents\My_Python\data\Testzone\DJI_0037.jpg,ObjectDetectionModel,DJI_0037.jpg
3060,1345,136,182,0.839468777179718,car,0,81cadb1e-90e5-4414-abc6-d1c7e4ae8165,C:\Users\felix\Documents\My_Python\data\Testzone\DJI_0037.jpg,ObjectDetectionModel,DJI_0037.jpg
2919,1604,162,176,0.8355462551116943,car,0,f778a225-e73f-4127-8133-c887379af64c,C:\Users\felix\Documents\My_Python\data\Testzone\DJI_0037.jpg,ObjectDetectionModel,DJI_0037.jpg
5407,1621,111,153,0.8314535021781921,car,0,8008a275-b900-4fa3-a742-d98ce55b231d,C:\Users\felix\Documents\My_Python\data\Testzone\DJI_0037.jpg,ObjectDetectionModel,DJI_0037.jpg
2458,1858,213,136,0.8284177780151367,car,0,dfe710bf-5e02-447a-8fc3-2f3ecf4fb247,C:\Users\felix\Documents\My_Python\data\Testzone\DJI_0037.jpg,ObjectDetectionModel,DJI_0037.jpg
2449,2143,111,171,0.8271245956420898,car,0,2897ff7f-fd16-44eb-9218-4d3df479159b,C:\Users\felix\Documents\My_Python\data\Testzone\DJI_0037.jpg,ObjectDetectionModel,DJI_0037.jpg
3137,963,256,399,0.8133637309074402,car,0,b5ce31fe-8681-4a8e-8ecb-c9bd92e2514b,C:\Users\felix\Documents\My_Python\data\Testzone\DJI_0037.jpg,ObjectDetectionModel,DJI_0037.jpg
