x,y,width,height,confidence,class,class_id,detection_id,image_path,prediction_type,image
2526,1496,179,222,0.8656041026115417,car,0,666b2812-2d79-4552-9d77-429b96777275,C:\Users\felix\Documents\GitHub\CarDetection\testzone\circle\DJI_0036.JPG,ObjectDetectionModel,DJI_0036.JPG
2727,1157,153,171,0.8595132827758789,car,0,2678a3e3-a55a-4307-9159-94e282061313,C:\Users\felix\Documents\GitHub\CarDetection\testzone\circle\DJI_0036.JPG,ObjectDetectionModel,DJI_0036.JPG
2898,940,153,182,0.8477263450622559,car,0,76eba480-9dba-48f8-8815-762dccd02f32,C:\Users\felix\Documents\GitHub\CarDetection\testzone\circle\DJI_0036.JPG,ObjectDetectionModel,DJI_0036.JPG
2620,980,179,159,0.8397180438041687,car,0,0093b6b9-26ef-471e-9483-65ca7cfacd9a,C:\Users\felix\Documents\GitHub\CarDetection\testzone\circle\DJI_0036.JPG,ObjectDetectionModel,DJI_0036.JPG
3009,555,290,393,0.8342527151107788,car,0,43d98124-b026-4a45-b4ae-9dda43a397e6,C:\Users\felix\Documents\GitHub\CarDetection\testzone\circle\DJI_0036.JPG,ObjectDetectionModel,DJI_0036.JPG
2180,2262,102,159,0.8331409692764282,car,0,574ca3b1-2ded-47b4-87c3-6072dfe25087,C:\Users\felix\Documents\GitHub\CarDetection\testzone\circle\DJI_0036.JPG,ObjectDetectionModel,DJI_0036.JPG
1722,1236,213,91,0.8233820199966431,car,0,e526d9a5-69b7-4c85-95e9-2733617c2d1b,C:\Users\felix\Documents\GitHub\CarDetection\testzone\circle\DJI_0036.JPG,ObjectDetectionModel,DJI_0036.JPG
2022,1322,230,114,0.818192720413208,car,0,57086221-df14-40fe-9942-9735c32c0d4b,C:\Users\felix\Documents\GitHub\CarDetection\testzone\circle\DJI_0036.JPG,ObjectDetectionModel,DJI_0036.JPG
2325,1781,102,165,0.8024623990058899,car,0,fc3059fe-f093-478b-abed-4df8e0e3c17d,C:\Users\felix\Documents\GitHub\CarDetection\testzone\circle\DJI_0036.JPG,ObjectDetectionModel,DJI_0036.JPG
5095,541,188,136,0.7627003192901611,car,0,507689a4-4971-4619-bba1-0ee4c8eabeed,C:\Users\felix\Documents\GitHub\CarDetection\testzone\circle\DJI_0036.JPG,ObjectDetectionModel,DJI_0036.JPG
3167,42,94,85,0.6317110657691956,car,0,77c19b9f-be52-4177-b4a0-ae732ec72521,C:\Users\felix\Documents\GitHub\CarDetection\testzone\circle\DJI_0036.JPG,ObjectDetectionModel,DJI_0036.JPG
2889,2120,273,148,0.5647792816162109,car,0,913cb905-41b5-4635-a889-b4b462f1e3a0,C:\Users\felix\Documents\GitHub\CarDetection\testzone\circle\DJI_0036.JPG,ObjectDetectionModel,DJI_0036.JPG
5433,2074,76,216,0.519948422908783,car,0,4f6759df-24bb-44ff-afcf-8fd8cb621c6d,C:\Users\felix\Documents\GitHub\CarDetection\testzone\circle\DJI_0036.JPG,ObjectDetectionModel,DJI_0036.JPG
4809,544,145,131,0.5066701173782349,car,0,8e5fd54f-4683-48f3-bdd3-288b56992f4a,C:\Users\felix\Documents\GitHub\CarDetection\testzone\circle\DJI_0036.JPG,ObjectDetectionModel,DJI_0036.JPG
