x,y,width,height,IoU
1603,2043,282,199,0.74
3112,3152,205,125,0.92
457,1185,230,159,0.53
940,1094,256,182,0.56
2988,2616,111,216,0.87
1055,2334,213,153,0.7
636,3066,128,205,0.68
2227,2969,213,114,0.81
1282,2171,222,148,0.77
2889,2639,102,193,0.87
3090,2428,111,216,0.92
4210,2867,111,205,0.79
594,3303,299,165,0.68
3779,2379,102,165,0.78
4411,1767,102,171,0.81
4882,190,256,176,0.69
1603,2043,282,199,0.74
3112,3152,205,125,0.92
457,1185,230,159,0.53
940,1094,256,182,0.56
2988,2616,111,216,0.87
1055,2334,213,153,0.7
636,3066,128,205,0.68
2227,2969,213,114,0.81
1282,2171,222,148,0.77
2889,2639,102,193,0.87
3090,2428,111,216,0.92
4210,2867,111,205,0.79
594,3303,299,165,0.68
3779,2379,102,165,0.78
4411,1767,102,171,0.81
4882,190,256,176,0.69
