x,y,width,height,confidence,class,class_id,detection_id,image_path,prediction_type,image
436,1903,239,159,0.866820216178894,car,0,c98ab86d-36c2-4e57-a5ef-5d1604fdaa16,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0709.JPG,ObjectDetectionModel,DJI_0709.JPG
914,1815,256,176,0.8657010197639465,car,0,07d0b38a-3807-4a75-9f1c-081c9b2fce6c,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0709.JPG,ObjectDetectionModel,DJI_0709.JPG
1073,2667,265,193,0.8644418716430664,car,0,71c2628f-2bfb-4183-92d5-49f87f8aacaf,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0709.JPG,ObjectDetectionModel,DJI_0709.JPG
4463,313,256,182,0.8550251722335815,car,0,7d611552-9332-4820-8917-7f11c81c2171,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0709.JPG,ObjectDetectionModel,DJI_0709.JPG
2680,1744,247,193,0.853812038898468,car,0,ecdd5200-07f6-47f6-bda0-e287fc592941,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0709.JPG,ObjectDetectionModel,DJI_0709.JPG
3539,1727,136,159,0.853712797164917,car,0,19f00fdc-ddbd-4138-9f9d-8fe04c4043f7,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0709.JPG,ObjectDetectionModel,DJI_0709.JPG
2680,1211,282,176,0.849039614200592,car,0,007ecac4-e3ee-4bd6-97f3-f25b7ede5ca2,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0709.JPG,ObjectDetectionModel,DJI_0709.JPG
2133,1610,213,165,0.8471449613571167,car,0,df7d0ea9-2a5e-492d-a2df-86c9c6b44a2b,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0709.JPG,ObjectDetectionModel,DJI_0709.JPG
2603,1946,213,142,0.8457657098770142,car,0,e9553bd7-79cd-4d9a-8681-5395462e07de,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0709.JPG,ObjectDetectionModel,DJI_0709.JPG
5164,521,205,142,0.843120276927948,car,0,87349a34-a4b9-40c4-8846-55a32f35abf4,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0709.JPG,ObjectDetectionModel,DJI_0709.JPG
3214,752,222,159,0.839799165725708,car,0,80974ba3-ca03-4aee-a224-2c4acaed2c6c,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0709.JPG,ObjectDetectionModel,DJI_0709.JPG
1453,1952,256,176,0.8381920456886292,car,0,8531c82c-b71b-4134-a950-e85543487766,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0709.JPG,ObjectDetectionModel,DJI_0709.JPG
1026,3040,222,165,0.8369228839874268,car,0,49b310b9-74ec-442b-8a0f-28860d37ffe4,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0709.JPG,ObjectDetectionModel,DJI_0709.JPG
4843,903,230,165,0.8328872323036194,car,0,bc16aa63-5e39-49df-a98d-14a92c94dc30,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0709.JPG,ObjectDetectionModel,DJI_0709.JPG
3223,1365,376,359,0.8249852061271667,car,0,58932f45-2568-4eb2-83c8-61794964f236,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0709.JPG,ObjectDetectionModel,DJI_0709.JPG
