x,y,width,height,IoU
4723,3516,213,91,0.6
1111,2773,205,96,0.95
4766,3608,179,79,0.53
953,1992,76,188,0.84
423,2411,213,114,0.89
1073,2550,196,85,0.92
658,2385,205,108,0.91
2141,1120,76,188,0.78
2120,812,85,176,0.72
2137,1382,85,199,0.82
2133,1732,94,216,0.95
81,2359,162,114,0.68
2137,1986,85,188,0.82
1107,2673,179,79,0.95
2603,1068,247,96,0.79
2013,3380,94,193,0.78
4125,3078,230,125,0.7
1120,2889,239,91,0.89
1975,3078,85,205,0.63
2919,1564,145,96,0.76
1073,2550,196,85,0.75
81,2359,162,114,0.53
1111,2773,205,96,0.93
2133,1732,94,216,0.97
2137,1986,85,188,0.89
1975,2793,85,193,0.66
423,2411,213,114,0.67
2141,1120,76,188,0.79
2141,2488,94,210,0.72
658,2385,205,108,0.84
1970,2408,94,222,0.58
1120,2889,239,91,0.87
2158,2755,94,210,0.79
2137,1382,85,199,0.74
1975,3078,85,205,0.63
2603,1068,247,96,0.74
2146,159,85,205,0.86
2141,504,128,267,0.78
2120,812,85,176,0.92
953,1992,76,188,0.78
2137,2208,85,165,0.78
1107,2673,179,79,0.8
2919,1564,145,96,0.8
