x,y,width,height,confidence,class,class_id,detection_id,image_path,prediction_type,image
2295,1635,145,216,0.8736421465873718,car,0,3f4694ce-f078-4b90-98a4-eb7acd424b9e,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0073.JPG,ObjectDetectionModel,DJI_0073.JPG
2244,1108,94,199,0.8528310656547546,car,0,a64ef24f-61f6-4301-b30e-f709cc62940c,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0073.JPG,ObjectDetectionModel,DJI_0073.JPG
2167,339,94,188,0.8398622870445251,car,0,3428464d-e170-4dd7-843c-a2cb8459cc6e,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0073.JPG,ObjectDetectionModel,DJI_0073.JPG
3107,1553,213,96,0.8374538421630859,car,0,6aa512ed-fff4-4205-b67c-addf8cd6bc9b,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0073.JPG,ObjectDetectionModel,DJI_0073.JPG
2039,1305,94,205,0.8360820412635803,car,0,f2ad1a4a-6054-4190-9f0c-5bea8ac25c8b,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0073.JPG,ObjectDetectionModel,DJI_0073.JPG
2026,344,102,199,0.8353551626205444,car,0,ad4a299d-798d-4671-a8de-d2f9ddfeecb9,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0073.JPG,ObjectDetectionModel,DJI_0073.JPG
4929,595,247,96,0.8345754742622375,car,0,dfcfd0d8-7cf2-4b86-976f-1819d908ea9f,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0073.JPG,ObjectDetectionModel,DJI_0073.JPG
3556,1949,205,102,0.8305457830429077,car,0,d12acffe-8753-45df-9062-53fc1d0f2f4d,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0073.JPG,ObjectDetectionModel,DJI_0073.JPG
3334,775,102,193,0.8304901123046875,car,0,f77797a3-04e1-4cdc-b001-528522d7b231,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0073.JPG,ObjectDetectionModel,DJI_0073.JPG
4159,1969,213,108,0.8303499221801758,car,0,cb24f891-d2c2-4cbb-b8bf-9a467fbe1d5c,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0073.JPG,ObjectDetectionModel,DJI_0073.JPG
3142,1775,196,85,0.826667308807373,car,0,2af52233-3ef6-4be1-98f6-4e6cd2e6aa39,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0073.JPG,ObjectDetectionModel,DJI_0073.JPG
2043,621,119,193,0.822878360748291,car,0,1af347e3-7102-4495-bdc2-2b70181a87a7,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0073.JPG,ObjectDetectionModel,DJI_0073.JPG
3787,1918,222,108,0.819188117980957,car,0,e5274c75-3569-4339-9d93-c99094f007d8,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0073.JPG,ObjectDetectionModel,DJI_0073.JPG
2223,789,85,210,0.8130041360855103,car,0,85c6edfe-9de2-4f45-ba16-00e270ba3f92,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0073.JPG,ObjectDetectionModel,DJI_0073.JPG
2312,2089,76,199,0.8122415542602539,car,0,0a073b74-5a0a-4dfd-9260-988029380170,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0073.JPG,ObjectDetectionModel,DJI_0073.JPG
2907,524,222,102,0.809303879737854,car,0,120af972-21c8-4f66-b7d5-34a763f9e26a,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0073.JPG,ObjectDetectionModel,DJI_0073.JPG
1633,3234,256,108,0.8050843477249146,car,0,b3d3dd2a-51fd-4883-9b7b-be4907d89229,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0073.JPG,ObjectDetectionModel,DJI_0073.JPG
1970,2969,94,228,0.8041057586669922,car,0,e065084b-317c-4cbd-bae3-6032748db5e0,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0073.JPG,ObjectDetectionModel,DJI_0073.JPG
4595,1308,128,222,0.8013619184494019,car,0,1123d51f-2c10-420c-a797-c552f96d3419,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0073.JPG,ObjectDetectionModel,DJI_0073.JPG
2103,3494,85,171,0.8011481165885925,car,0,6bb4de98-9885-4aa8-aebe-3afe79590ee6,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0073.JPG,ObjectDetectionModel,DJI_0073.JPG
1962,2097,94,216,0.7990142703056335,car,0,b7c2beea-847e-44aa-87b9-454dff81180e,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0073.JPG,ObjectDetectionModel,DJI_0073.JPG
