x,y,width,height,confidence,class,class_id,detection_id,image_path,prediction_type,image
2304,2157,196,199,0.8708133101463318,car,0,084018c7-8c75-4892-949e-8be672d42b1e,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0074.JPG,ObjectDetectionModel,DJI_0074.JPG
3001,2234,205,91,0.8342241048812866,car,0,7ffad760-c172-4492-87ec-172c2a8916a3,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0074.JPG,ObjectDetectionModel,DJI_0074.JPG
3035,2453,188,85,0.8294793367385864,car,0,0828e3da-8931-4176-86ff-bd600b5b975f,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0074.JPG,ObjectDetectionModel,DJI_0074.JPG
4027,2644,222,102,0.821868896484375,car,0,d194aeec-4b18-41b5-93a4-8943a4d3a613,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0074.JPG,ObjectDetectionModel,DJI_0074.JPG
2171,2539,85,199,0.8212262988090515,car,0,c2a5290a-b669-4fd7-abcd-07c69c7c89af,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0074.JPG,ObjectDetectionModel,DJI_0074.JPG
4458,2003,111,210,0.8204653263092041,car,0,f2a94c84-0272-4aa3-8e9d-3bec3cca8a48,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0074.JPG,ObjectDetectionModel,DJI_0074.JPG
2128,1342,85,199,0.8200817704200745,car,0,4e85663d-5c1a-402a-9859-908803061586,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0074.JPG,ObjectDetectionModel,DJI_0074.JPG
4416,1291,230,85,0.8171054720878601,car,0,f38415a8-4c06-41f7-a649-329fcefdb3fe,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0074.JPG,ObjectDetectionModel,DJI_0074.JPG
3441,2622,196,102,0.8160400390625,car,0,90250773-9f90-4a6f-995a-287f84b690a3,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0074.JPG,ObjectDetectionModel,DJI_0074.JPG
2146,1647,102,193,0.8151084780693054,car,0,8449863e-8cbe-4d49-9849-962891b9535a,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0074.JPG,ObjectDetectionModel,DJI_0074.JPG
2808,1219,213,91,0.8144053816795349,car,0,1f3178a0-15e1-4f69-b6f8-0d2931dcc4ad,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0074.JPG,ObjectDetectionModel,DJI_0074.JPG
1910,407,111,245,0.8107920289039612,car,0,4711e8c4-8d7a-474e-aee8-f3b954e0af81,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0074.JPG,ObjectDetectionModel,DJI_0074.JPG
