x,y,width,height,confidence,class,class_id,detection_id,image_path,prediction_type,image
3082,2356,230,153,0.8621389269828796,car,0,5353fe31-8400-4036-8461-2ec25925d4e4,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0711.JPG,ObjectDetectionModel,DJI_0711.JPG
936,3266,265,182,0.8576797842979431,car,0,934f0bd8-19ba-4c71-8cc2-2215ea6aa035,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0711.JPG,ObjectDetectionModel,DJI_0711.JPG
5061,1430,666,456,0.8552910089492798,car,0,becad976-b0d0-4802-b288-13d8968a593f,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0711.JPG,ObjectDetectionModel,DJI_0711.JPG
461,3360,222,165,0.8536248803138733,car,0,daf2e614-994f-43ae-bb05-4a129eeca1aa,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0711.JPG,ObjectDetectionModel,DJI_0711.JPG
2949,2907,222,239,0.8486239314079285,car,0,7fea3a5e-400c-4f51-80f2-f9eeb47a3fb6,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0711.JPG,ObjectDetectionModel,DJI_0711.JPG
2753,3257,239,188,0.8471084237098694,car,0,d71182f4-e53b-4992-9922-5907efad6395,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0711.JPG,ObjectDetectionModel,DJI_0711.JPG
1628,3234,265,222,0.8430619239807129,car,0,513d4eb4-13ac-4113-9a91-9ccc1b4bec79,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0711.JPG,ObjectDetectionModel,DJI_0711.JPG
3535,2123,196,142,0.8390772342681885,car,0,ebc6ab87-0a6f-43cc-8627-2378eebd4ba3,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0711.JPG,ObjectDetectionModel,DJI_0711.JPG
3467,2835,196,176,0.8361508250236511,car,0,284cc00c-670d-4964-87a6-857255bd8d8c,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0711.JPG,ObjectDetectionModel,DJI_0711.JPG
4091,1282,111,205,0.8346916437149048,car,0,d2abbbf8-2115-448c-99f2-b656f6e7570f,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0711.JPG,ObjectDetectionModel,DJI_0711.JPG
2697,2770,418,250,0.8344120979309082,car,0,25ace6f0-c45c-436a-a49d-8e0b3638616c,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0711.JPG,ObjectDetectionModel,DJI_0711.JPG
1945,2949,247,199,0.8313451409339905,car,0,8c415f68-c158-4808-a947-8e664da69cb2,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0711.JPG,ObjectDetectionModel,DJI_0711.JPG
3659,3488,153,216,0.8303525447845459,car,0,2aa709e6-359e-408b-814d-4aa0b1abd208,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0711.JPG,ObjectDetectionModel,DJI_0711.JPG
3890,3439,119,210,0.8280065059661865,car,0,1a13ff0f-ccf9-4b22-bcbf-a101d38e4374,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0711.JPG,ObjectDetectionModel,DJI_0711.JPG
4800,2277,230,176,0.8235571384429932,car,0,be048dbb-a0f6-46ef-8b94-22dcd59d7acf,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0711.JPG,ObjectDetectionModel,DJI_0711.JPG
3142,2690,162,136,0.8141161203384399,car,0,3d53541e-3557-467b-a5a1-90fa7a5666b2,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0711.JPG,ObjectDetectionModel,DJI_0711.JPG
3394,2052,205,159,0.7991223335266113,car,0,e04e8768-11b6-47bc-b697-0309e625f029,C:\Users\felix\Documents\GitHub\CarDetection\testzone\intersection\DJI_0711.JPG,ObjectDetectionModel,DJI_0711.JPG
