x,y,width,height,confidence,class,class_id,detection_id,image_path,prediction_type,image
1539,2194,188,125,0.8482614159584045,car,0,d31680e7-36d6-4b70-be80-e112fc6f6faa,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
4698,2861,213,91,0.8366671800613403,car,0,5d48d67d-0e2c-4d57-8e65-37b5aae002a3,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
1077,2100,205,96,0.8303590416908264,car,0,b4da55c3-fdcb-452b-883a-0cb693bcafc7,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
4745,2952,188,79,0.8218256235122681,car,0,04262b01-f190-4ec3-b360-3b3e6a1d31a8,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
2107,1607,76,171,0.8213565945625305,car,0,7851a6fc-09c7-41f3-9df0-5d2fac2d977e,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
914,1313,85,199,0.8149800300598145,car,0,a928af90-e589-4fa9-ba83-9f387ac7b82d,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
384,1735,222,108,0.8140011429786682,car,0,4848014a-52e4-4730-aac5-7fbca3cc87ee,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
1936,2049,94,188,0.8125791549682617,car,0,e7b87e06-e742-4b64-9358-49fddac0a0f6,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
2163,2716,85,199,0.8070372343063354,car,0,ed25019a-d401-455d-93ca-df98ee0a87cb,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
1038,1878,196,85,0.8067176342010498,car,0,78856fb1-d2ce-4f81-94fe-579d7a347892,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
1282,3112,222,91,0.803098738193512,car,0,f68d042b-9d8f-4f9b-965b-be383913e8d6,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
619,1707,213,108,0.8026657104492188,car,0,c1802da8-c409-4f93-bcd3-d9f2ad7acb96,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
2094,125,85,171,0.7987931370735168,car,0,015648d1-c63f-4172-88bb-0f83606ab305,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
4770,3049,188,79,0.7983851432800293,car,0,12d5fefc-26ce-4cca-a6e7-fe16bbc8b9c6,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
2111,436,85,199,0.7980959415435791,car,0,61588b26-8f54-4d2d-8120-38469fe4a222,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
2295,2559,94,205,0.7972416877746582,car,0,c0f1ae61-7588-4de0-8bde-b002c3a907fe,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
1932,1197,102,216,0.7957697510719299,car,0,0dba94d2-7637-40d0-b869-9275dc3a3a6c,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
2111,706,85,205,0.7937349677085876,car,0,963c07ca-7a52-4bdd-bb9f-5ccc39b8ee97,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
2099,1057,94,222,0.7916880249977112,car,0,70c4f567-d29f-400a-bbcf-1f3deeb7d6ac,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
64,1678,128,108,0.7897838354110718,car,0,e04cba34-527e-477f-8ef7-2066f2dbd725,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
4877,3334,230,102,0.7891178727149963,car,0,40f521a0-9a59-4824-98f5-25d8974af166,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
2111,1308,85,188,0.7890487909317017,car,0,ee357a5c-2436-44db-8611-4561acd30a6b,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
2000,3240,85,188,0.787693440914154,car,0,148770af-6648-4428-85b1-e06f8acdee97,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
1889,114,153,228,0.7870367765426636,car,0,072e37eb-fc3a-4fb7-8faa-07bbd6985493,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
2265,2188,102,228,0.7842534780502319,car,0,bbc63657-4548-41be-89cf-69fdad761e2e,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
1928,763,111,216,0.7840613126754761,car,0,4e3b3584-cee4-4420-8eb2-eade7aa2b356,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
2111,1943,85,205,0.7829313278198242,car,0,1f3b186c-96eb-4a6b-b28d-83304b230d1d,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
1073,2000,179,79,0.7802261114120483,car,0,13ba6a7b-063c-4d8e-bf1a-be147fd3bb48,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
2573,387,256,114,0.774421751499176,car,0,a4652fc8-144f-49c0-8087-e6b9d71451ef,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
2009,2952,85,159,0.7679290771484375,car,0,cf3f9db0-fea9-4eb3-a972-fda1c9d4dc59,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
2223,1638,85,245,0.762042760848999,car,0,2af06a6a-d9df-418a-88db-9e1d1bccebe0,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
1992,2716,85,188,0.7537654042243958,car,0,ec3aba09-1765-400f-bb9a-8ab9a696bfe1,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_14\Zone_14\DJI_0069.JPG,ObjectDetectionModel,DJI_0069.JPG
