x,y,width,height,confidence,class,class_id,detection_id,image_path,prediction_type,image
1359,3266,188,148,0.8636246919631958,car,0,3e56847c-0cc0-4b52-8caa-6e4fe60e002f,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
555,2650,222,114,0.8477120995521545,car,0,b6dd9d5f-d6aa-4399-a34e-ee68d747c406,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
1201,2781,196,91,0.8356313705444336,car,0,3a0f7df8-1609-406e-a124-5737db0c2f9c,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
1235,3001,196,96,0.8325265049934387,car,0,ee4043f6-0d91-4162-ad8d-cba8d19e37a7,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
1231,2904,171,85,0.8228060603141785,car,0,a09507b8-f33d-4873-bded-0854b16ff9e8,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
2099,3018,94,188,0.8172264695167542,car,0,3ff3de59-ccea-462a-b4f1-af109bbe0308,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
2252,396,94,199,0.8168163299560547,car,0,63b39459-5516-40dc-a5f0-a878ace0353e,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
2103,3317,85,205,0.8153424859046936,car,0,9e009e5a-db52-43ad-8ead-d703e44a3538,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
2086,2305,102,210,0.8104667663574219,car,0,dc09bd05-039f-4de8-a8a0-8c65a1f2cb82,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
171,2604,239,114,0.8034570217132568,car,0,882f2313-fe8f-48f0-b04b-ff56fa516781,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
2017,456,102,228,0.80316561460495,car,0,8c5a87b4-72d5-4a8d-9c63-8c1902583d17,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
2248,1336,85,188,0.7990805506706238,car,0,2ed61054-4be1-4065-846b-7cb7f013c33a,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
2415,3214,94,205,0.7981683015823364,car,0,b1196c2b-7772-437b-bd46-483c4443692c,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
2086,1966,102,205,0.7946041822433472,car,0,2a2ff0be-083b-4222-a409-1723864e0908,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
2039,1376,145,381,0.7918205261230469,car,0,e73c0cc0-f6dc-4b4a-9c8b-b1edad69ef2f,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
2039,843,111,216,0.7913753390312195,car,0,6c8cf5d7-1463-4340-a828-523f15ea63bc,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
2381,2827,94,228,0.788735568523407,car,0,6ce986b1-ee26-4ffa-bd22-f44acc21ffa1,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
2086,2687,85,222,0.7808433771133423,car,0,d6d55ec8-0519-4591-b084-3d3c67cf909e,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
778,2619,205,108,0.7789961695671082,car,0,a057c678-ab3d-4608-8939-1b4e83c9328b,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
2287,74,94,148,0.7700452208518982,car,0,35cb3ec5-1390-4785-afb5-b999b1d455fa,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
2248,1615,68,199,0.7595050930976868,car,0,e5e0f86b-6380-4d5e-ba0f-1b828b2c1647,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
2855,139,342,153,0.7548709511756897,car,0,26733452-2786-4bbe-a9a5-49a324ee6eb4,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
1248,3117,239,91,0.7502854466438293,car,0,4ee934e0-e4a2-47fa-80e7-25f5223f342a,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
2376,2237,85,245,0.7152411937713623,car,0,83d50590-35f2-4383-af43-69bb6981091c,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
3082,287,778,324,0.5854476094245911,car,0,5e3d528d-bd59-4752-ab68-a9225bdef419,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
906,37,188,74,0.5843145847320557,car,0,d97dcaae-20e5-4366-ba6b-faaf677fc169,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
4864,3605,222,85,0.5386438369750977,car,0,36dc12bf-afa2-4a28-adff-f4a412175f8c,C:\Users\felix\Documents\GitHub\CarDetection\testzone\turn\DJI_0071.JPG,ObjectDetectionModel,DJI_0071.JPG
