x,y,width,height,IoU
636,2163,230,119,0.74
3697,1151,213,148,0.84
239,1379,290,114,0.65
239,2049,136,245,0.8
778,1584,307,125,0.83
4001,3468,205,85,0.57
636,2163,230,119,0.74
3697,1151,213,148,0.84
239,1379,290,114,0.65
239,2049,136,245,0.8
778,1584,307,125,0.83
4001,3468,205,85,0.57
636,2163,230,119,0.74
3697,1151,213,148,0.84
239,1379,290,114,0.65
239,2049,136,245,0.8
778,1584,307,125,0.83
4001,3468,205,85,0.57
636,2163,230,119,0.74
3697,1151,213,148,0.84
239,1379,290,114,0.65
239,2049,136,245,0.8
778,1584,307,125,0.83
4001,3468,205,85,0.57
636,2163,230,119,0.74
3697,1151,213,148,0.84
239,1379,290,114,0.65
239,2049,136,245,0.8
778,1584,307,125,0.83
4001,3468,205,85,0.57
636,2163,230,119,0.74
3697,1151,213,148,0.84
239,1379,290,114,0.65
239,2049,136,245,0.8
778,1584,307,125,0.83
4001,3468,205,85,0.57
636,2163,230,119,0.74
3697,1151,213,148,0.84
239,1379,290,114,0.65
239,2049,136,245,0.8
778,1584,307,125,0.83
4001,3468,205,85,0.57
