x,y,width,height,confidence,class,class_id,detection_id,image_path,prediction_type,image
4356,2801,265,131,0.8436327576637268,car,0,cb60da26-7c01-492e-859e-fb115342a92b,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_1\100MEDIA\DJI_0851.JPG,ObjectDetectionModel,DJI_0851.JPG
453,2790,205,153,0.8427510261535645,car,0,aa4fe64f-af0e-499a-a5d5-9e31aa364a68,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_1\100MEDIA\DJI_0851.JPG,ObjectDetectionModel,DJI_0851.JPG
4223,684,136,205,0.841847836971283,car,0,a10075ee-9c1b-432e-9e3e-c93a86c2aec4,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_1\100MEDIA\DJI_0851.JPG,ObjectDetectionModel,DJI_0851.JPG
4360,2975,239,125,0.8351027965545654,car,0,5c8dcec3-f5d9-400d-a4dc-552b88de8fbd,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_1\100MEDIA\DJI_0851.JPG,ObjectDetectionModel,DJI_0851.JPG
4116,2396,265,131,0.8282087445259094,car,0,5ccfbd22-9a35-4479-8c44-fb5f0920bec6,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_1\100MEDIA\DJI_0851.JPG,ObjectDetectionModel,DJI_0851.JPG
3270,2245,316,136,0.8130689859390259,car,0,2629b699-b692-419b-8463-418b56687198,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_1\100MEDIA\DJI_0851.JPG,ObjectDetectionModel,DJI_0851.JPG
4599,826,136,205,0.8109855055809021,car,0,ff31d4b7-56a0-4778-b1b5-8615a1f14640,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_1\100MEDIA\DJI_0851.JPG,ObjectDetectionModel,DJI_0851.JPG
3283,2012,342,136,0.8079483509063721,car,0,315159b6-3c97-4e54-a750-5ff4e91ee4f9,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_1\100MEDIA\DJI_0851.JPG,ObjectDetectionModel,DJI_0851.JPG
4745,872,136,239,0.806404709815979,car,0,926cdb3d-b601-4800-a7b2-7556ba6111b7,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_1\100MEDIA\DJI_0851.JPG,ObjectDetectionModel,DJI_0851.JPG
3984,1775,136,256,0.8003146648406982,car,0,ca5bad10-1d12-4a66-bc91-e64c109dbbb4,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_1\100MEDIA\DJI_0851.JPG,ObjectDetectionModel,DJI_0851.JPG
3821,2422,273,114,0.7940096259117126,car,0,d6eaeb7f-014c-4197-9a37-f3016d786303,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_1\100MEDIA\DJI_0851.JPG,ObjectDetectionModel,DJI_0851.JPG
5185,1909,299,136,0.7895505428314209,car,0,04c9e8d0-56d7-4130-9ed1-fdb462af1dde,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_1\100MEDIA\DJI_0851.JPG,ObjectDetectionModel,DJI_0851.JPG
5382,2123,179,153,0.78670734167099,car,0,2e627838-1158-4c4e-9aec-e898df7158ac,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_1\100MEDIA\DJI_0851.JPG,ObjectDetectionModel,DJI_0851.JPG
3804,1747,119,245,0.7823826670646667,car,0,10dc8165-78ef-4a67-8c56-7c4348178b96,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_1\100MEDIA\DJI_0851.JPG,ObjectDetectionModel,DJI_0851.JPG
5330,2505,282,131,0.7636027932167053,car,0,86460725-739d-4aa8-8162-c2914cd41e6a,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_1\100MEDIA\DJI_0851.JPG,ObjectDetectionModel,DJI_0851.JPG
3424,1650,213,108,0.7629743814468384,car,0,1663e885-769a-4191-a9bf-71ad8f489474,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_1\100MEDIA\DJI_0851.JPG,ObjectDetectionModel,DJI_0851.JPG
5343,2322,256,153,0.7520631551742554,car,0,5f04a55b-ebaa-4218-9b9f-8781723680b3,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_1\100MEDIA\DJI_0851.JPG,ObjectDetectionModel,DJI_0851.JPG
5416,1957,111,142,0.7422075867652893,car,0,07f224c7-1588-4bf5-8838-74c0bcbd589f,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_1\100MEDIA\DJI_0851.JPG,ObjectDetectionModel,DJI_0851.JPG
4950,977,119,165,0.6115342378616333,car,0,a048be9f-eae2-44d8-9f52-314b6bdbc438,E:\Data_MaterThesis\Data_Ashaiman\Raw_Images\Zone_1\100MEDIA\DJI_0851.JPG,ObjectDetectionModel,DJI_0851.JPG
